No,;Time;Source;Destination;Protocol;Length;Info;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
1;0;192,168,43,84;184,72,128,137;TCP;55;56881  >  443 [ACK] Seq=1 Ack=1 Win=64860 Len=1 [TCP segment of a reassembled PDU];;0;0,288997;0,288997;;0,092069;0,196928;0,104859
2;0,288997;184,72,128,137;192,168,43,84;TCP;54;443  >  56881 [ACK] Seq=1 Ack=2 Win=35880 Len=0;;0,288997;0,485925;0,196928;;-0,093542;0,29047;0,384012
3;0,485925;192,168,43,84;34,200,44,32;TCP;66;57199  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;0,485925;0,776395;0,29047;;0,290256;0,000214;-0,290042
4;0,776395;34,200,44,32;192,168,43,84;TCP;58;443  >  57199 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1380;;0,776395;0,776609;0,000214;;-0,000504;0,000718;0,001222
5;0,776609;192,168,43,84;34,200,44,32;TCP;54;57199  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0;;0,776609;0,777327;0,000718;;-0,293823;0,294541;0,588364
6;0,777327;192,168,43,84;34,200,44,32;TLSv1,2;232;Client Hello;;0,777327;1,071868;0,294541;;0,29448;6,10E-05;-0,294419
7;1.071.868;34,200,44,32;192,168,43,84;TCP;54;443  >  57199 [ACK] Seq=1 Ack=179 Win=26800 Len=0;;1,071868;1,071929;6,10E-05;;-0,002357;0,002418;0,004775
8;1.071.929;34,200,44,32;192,168,43,84;TLSv1,2;1354;Server Hello;;1,071929;1,074347;0,002418;;0,002363;5,50E-05;-0,002308
9;1.074.347;34,200,44,32;192,168,43,84;TCP;1354;443  >  57199 [ACK] Seq=1301 Ack=179 Win=26800 Len=1300 [TCP segment of a reassembled PDU];;1,074347;1,074402;5,50E-05;;3,00E-06;5,20E-05;4,90E-05
10;1.074.402;192,168,43,84;34,200,44,32;TCP;54;57199  >  443 [ACK] Seq=179 Ack=2601 Win=64860 Len=0;;1,074402;1,074454;5,20E-05;;-0,001343;0,001395;0,002738
11;1.074.454;34,200,44,32;192,168,43,84;TLSv1,2;906;Certificate, Server Key Exchange, Server Hello Done;;1,074454;1,075849;0,001395;;-0,325366;0,326761;0,652127
12;1.075.849;192,168,43,84;34,200,44,32;TLSv1,2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;1,075849;1,40261;0,326761;;0,325236;0,001525;-0,323711
13;1.402.610;34,200,44,32;192,168,43,84;TLSv1,2;105;Change Cipher Spec, Encrypted Handshake Message;;1,40261;1,404135;0,001525;;0,001154;0,000371;-0,000783
14;1.404.135;192,168,43,84;34,200,44,32;TLSv1,2;343;Application Data;;1,404135;1,404506;0,000371;;-0,298259;0,29863;0,596889
15;1.404.506;192,168,43,84;34,200,44,32;TLSv1,2;976;Application Data;;1,404506;1,703136;0,29863;;0,280677;0,017953;-0,262724
16;1.703.136;34,200,44,32;192,168,43,84;TCP;54;443  >  57199 [ACK] Seq=3504 Ack=1516 Win=29504 Len=0;;1,703136;1,721089;0,017953;;0,017698;0,000255;-0,017443
17;1.721.089;34,200,44,32;192,168,43,84;TLSv1,2;586;Application Data;;1,721089;1,721344;0,000255;;3,00E-06;0,000252;0,000249
18;1.721.344;34,200,44,32;192,168,43,84;TLSv1,2;85;Encrypted Alert;;1,721344;1,721596;0,000252;;7,50E-05;0,000177;0,000102
19;1.721.596;192,168,43,84;34,200,44,32;TLSv1,2;85;Encrypted Alert;;1,721596;1,721773;0,000177;;-0,28965;0,289827;0,579477
20;1.721.773;192,168,43,84;34,200,44,32;TCP;54;57199  >  443 [FIN, ACK] Seq=1547 Ack=4067 Win=64860 Len=0;;1,721773;2,0116;0,289827;;0,280302;0,009525;-0,270777
21;2.011.600;34,200,44,32;192,168,43,84;TCP;54;[TCP Dup ACK 16#1] 443  >  57199 [ACK] Seq=4067 Ack=1516 Win=29504 Len=0;;2,0116;2,021125;0,009525;;0,009443;8,20E-05;-0,009361
22;2.021.125;34,200,44,32;192,168,43,84;TCP;54;443  >  57199 [ACK] Seq=4067 Ack=1548 Win=29504 Len=0;;2,021125;2,021207;8,20E-05;;2,40E-05;5,80E-05;3,40E-05
23;2.021.207;34,200,44,32;192,168,43,84;TCP;54;443  >  57199 [FIN, ACK] Seq=4067 Ack=1548 Win=29504 Len=0;;2,021207;2,021265;5,80E-05;;-0,230573;0,230631;0,461204
24;2.021.265;192,168,43,84;34,200,44,32;TCP;54;57199  >  443 [ACK] Seq=1548 Ack=4068 Win=64860 Len=0;;2,021265;2,251896;0,230631;;0,143414;0,087217;-0,056197
25;2.251.896;192,168,43,84;52,84,229,238;TCP;55;56886  >  443 [ACK] Seq=1 Ack=1 Win=509 Len=1 [TCP segment of a reassembled PDU];;2,251896;2,339113;0,087217;;-0,451979;0,539196;0,991175
26;2.339.113;52,84,229,238;192,168,43,84;TCP;66;443  >  56886 [ACK] Seq=1 Ack=2 Win=123 Len=0 SLE=1 SRE=2;;2,339113;2,878309;0,539196;;0,473361;0,065835;-0,407526
27;2.878.309;192,168,43,84;104.118.106.235;TCP;55;56888  >  443 [ACK] Seq=1 Ack=1 Win=507 Len=1 [TCP segment of a reassembled PDU];;2,878309;2,944144;0,065835;;-1,882826;1,948661;3,831487
28;2.944.144;104.118.106.235;192,168,43,84;TCP;66;443  >  56888 [ACK] Seq=1 Ack=2 Win=254 Len=0 SLE=1 SRE=2;;2,944144;4,892805;1,948661;;1,66294;0,285721;-1,377219
29;4.892.805;192,168,43,84;40,90,137,120;TCP;66;57200  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;4,892805;5,178526;0,285721;;0,285575;0,000146;-0,285429
30;5.178.526;40,90,137,120;192,168,43,84;TCP;66;443  >  57200 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1380 WS=256 SACK_PERM=1;;5,178526;5,178672;0,000146;;-5,00E-05;0,000196;0,000246
31;5.178.672;192,168,43,84;40,90,137,120;TCP;54;57200  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0;;5,178672;5,178868;0,000196;;-0,293864;0,29406;0,587924
32;5.178.868;192,168,43,84;40,90,137,120;TLSv1,2;279;Client Hello;;5,178868;5,472928;0,29406;;0,292872;0,001188;-0,291684
33;5.472.928;40,90,137,120;192,168,43,84;TCP;1434;443  >  57200 [ACK] Seq=1 Ack=226 Win=262144 Len=1380 [TCP segment of a reassembled PDU];;5,472928;5,474116;0,001188;;0,001151;3,70E-05;-0,001114
